symbol,date,period,Revenue,OtherRevenueTotal,TotalRevenue,CostofRevenueTotal,GrossProfit,SellingGeneralAdminExpensesTotal,ResearchDevelopment,DepreciationAmortization,InterestExpenseIncomeNetOperating,UnusualExpenseIncome,OtherOperatingExpensesTotal,TotalOperatingExpense,OperatingIncome,InterestIncomeExpenseNetNonOperating,GainLossonSaleofAssets,OtherNet,IncomeBeforeTax,IncomeAfterTax,MinorityInterest,EquityInAffiliates,NetIncomeBeforeExtraItems,AccountingChange,DiscontinuedOperations,ExtraordinaryItem,NetIncome,PreferredDividends,IncomeAvailabletoCommonExclExtraItems,IncomeAvailabletoCommonInclExtraItems,BasicWeightedAverageShares,BasicEPSExcludingExtraordinaryItems,BasicEPSIncludingExtraordinaryItems,DilutionAdjustment,DilutedWeightedAverageShares,DilutedEPSExcludingExtraordinaryItems,DilutedEPSIncludingExtraordinaryItems,DividendsperShareCommonStockPrimaryIssue,GrossDividendsCommonStock,NetIncomeafterStockBasedCompExpense,BasicEPSafterStockBasedCompExpense,DilutedEPSafterStockBasedCompExpense,DepreciationSupplemental,TotalSpecialItems,NormalizedIncomeBeforeTaxes,EffectofSpecialItemsonIncomeTaxes,IncomeTaxesExImpactofSpecialItems,NormalizedIncomeAfterTaxes,NormalizedIncomeAvailtoCommon,BasicNormalizedEPS,DilutedNormalizedEPS
BFS,2016-09-30,3 months ending,53.23,NA,53.23,12.88,40.35,4.03,NA,11.63,NA,0.06,0.39,40.51,12.72,NA,0.00,NA,12.72,12.72,-2.48,NA,10.24,NA,NA,NA,10.24,NA,7.15,7.15,NA,NA,NA,NA,21.78,0.33,NA,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33
BFS,2016-06-30,3 months ending,52.71,NA,52.71,12.20,40.51,4.41,NA,10.82,NA,0.00,0.38,39.46,13.25,NA,0.00,NA,13.25,13.25,-2.62,NA,10.63,NA,NA,NA,10.63,NA,7.53,7.53,NA,NA,NA,NA,21.52,0.35,NA,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35
BFS,2016-03-31,3 months ending,56.93,NA,56.93,13.93,43.00,4.06,NA,11.04,NA,0.00,0.43,40.55,16.38,NA,NA,NA,16.37,16.37,-3.43,NA,12.95,NA,NA,NA,12.95,NA,9.85,9.85,NA,NA,NA,NA,21.34,0.46,NA,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46
BFS,2015-12-31,3 months ending,52.90,NA,52.90,12.47,40.43,4.64,NA,10.89,NA,0.01,-0.37,38.82,14.08,NA,0.00,NA,14.09,14.09,-2.83,NA,11.25,NA,NA,NA,11.25,NA,8.16,8.16,NA,NA,NA,NA,21.31,0.38,NA,0.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38
BFS,2015-09-30,3 months ending,52.38,NA,52.38,12.30,40.08,3.80,NA,11.13,NA,0.06,0.62,39.14,13.24,NA,0.00,NA,13.23,13.23,-2.62,NA,10.62,NA,NA,NA,10.62,NA,7.52,7.52,NA,NA,NA,NA,21.19,0.35,NA,0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36
BFS,2015-12-31,12 months ending,209.08,NA,209.08,50.36,158.72,16.35,NA,43.27,NA,0.08,0.92,156.15,52.93,NA,0.01,NA,52.93,52.93,-10.46,NA,42.47,NA,NA,NA,42.47,NA,30.09,30.09,NA,NA,NA,NA,21.20,1.42,NA,1.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.42
BFS,2014-12-31,12 months ending,207.09,NA,207.09,49.34,157.76,16.96,NA,41.20,NA,0.95,0.68,155.16,51.93,NA,6.07,NA,57.99,57.99,-11.04,NA,46.94,NA,NA,NA,46.94,NA,32.10,32.10,NA,NA,NA,0.00,20.82,1.54,NA,1.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.30
BFS,2013-12-31,12 months ending,197.90,NA,197.90,50.88,147.01,14.95,NA,49.13,NA,0.53,0.97,163.05,34.85,NA,NA,NA,34.84,34.84,-3.97,NA,30.87,NA,NA,NA,30.87,NA,11.66,11.66,NA,NA,NA,0.00,20.40,0.57,NA,1.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.60
BFS,2012-12-31,12 months ending,190.09,NA,190.09,48.79,141.31,14.27,NA,40.11,NA,0.91,1.15,154.78,35.31,NA,NA,NA,35.35,35.35,-6.41,NA,28.95,NA,NA,NA,33.37,NA,13.80,18.23,NA,NA,NA,NA,19.70,0.70,NA,1.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75
BG,2016-09-30,3 months ending,11423.00,NA,11423.00,10867.00,556.00,324.00,NA,NA,NA,NA,NA,11191.00,232.00,NA,NA,4.00,170.00,125.00,-12.00,NA,113.00,NA,NA,NA,118.00,NA,111.00,116.00,NA,NA,NA,0.00,139.93,0.79,NA,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
BG,2016-06-30,3 months ending,10541.00,NA,10541.00,10011.00,530.00,303.00,NA,NA,NA,NA,NA,10314.00,227.00,NA,NA,-13.00,163.00,124.00,1.00,NA,125.00,NA,NA,NA,121.00,NA,113.00,109.00,NA,NA,NA,0.00,139.76,0.81,NA,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81
