"market","symbol","name","ipoyear","sector","industry","quote"
"NASDAQ","GNTX","Gentex Corporation","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/gntx"
"NASDAQ","GNVC","GenVec, Inc.","2000","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/gnvc"
"NYSE","GNW","Genworth Financial Inc","2004","Finance","Life Insurance","http://www.nasdaq.com/symbol/gnw"
"NYSE","GOF","Guggenheim Strategic Opportunities Fund","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gof"
"NASDAQ","GOGL","Golden Ocean Group Limited","n/a","Consumer Services","Marine Transportation","http://www.nasdaq.com/symbol/gogl"
"NASDAQ","GOGO","Gogo Inc.","2013","Consumer Services","Telecommunications Equipment","http://www.nasdaq.com/symbol/gogo"
"NYSE","GOL","Gol Linhas Aereas Inteligentes S.A.","2004","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/gol"
"NASDAQ","GOLD","Randgold Resources Limited","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/gold"
"NASDAQ","GOOD","Gladstone Commercial Corporation","2003","Consumer Services","Real Estate","http://www.nasdaq.com/symbol/good"
"NASDAQ","GOODM","Gladstone Commercial Corporation","n/a","Consumer Services","Real Estate","http://www.nasdaq.com/symbol/goodm"
"NASDAQ","GOODO","Gladstone Commercial Corporation","n/a","Consumer Services","Real Estate","http://www.nasdaq.com/symbol/goodo"
"NASDAQ","GOODP","Gladstone Commercial Corporation","n/a","Consumer Services","Real Estate","http://www.nasdaq.com/symbol/goodp"
"NASDAQ","GOOG","Alphabet Inc.","2004","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/goog"
"NASDAQ","GOOGL","Alphabet Inc.","n/a","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/googl"
"NASDAQ","GOV","Government Properties Income Trust","2009","Finance","Real Estate","http://www.nasdaq.com/symbol/gov"
"NASDAQ","GOVNI","Government Properties Income Trust","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/govni"
"NASDAQ","GPAC","Global Partner Acquisition Corp.","2015","Finance","Business Services","http://www.nasdaq.com/symbol/gpac"
"NASDAQ","GPACU","Global Partner Acquisition Corp.","2015","Finance","Business Services","http://www.nasdaq.com/symbol/gpacu"
"NASDAQ","GPACW","Global Partner Acquisition Corp.","2015","Finance","Business Services","http://www.nasdaq.com/symbol/gpacw"
