symbol,date,period,CashEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivableTradeNet,ReceivablesOther,TotalReceivablesNet,TotalInventory,PrepaidExpenses,OtherCurrentAssetsTotal,TotalCurrentAssets,PropertyPlantEquipmentTotalGross,AccumulatedDepreciationTotal,GoodwillNet,IntangiblesNet,LongTermInvestments,OtherLongTermAssetsTotal,TotalAssets,AccountsPayable,AccruedExpenses,NotesPayableShortTermDebt,CurrentPortofLTDebtCapitalLeases,OtherCurrentliabilitiesTotal,TotalCurrentLiabilities,LongTermDebt,CapitalLeaseObligations,TotalLongTermDebt,TotalDebt,DeferredIncomeTax,MinorityInterest,OtherLiabilitiesTotal,TotalLiabilities,RedeemablePreferredStockTotal,PreferredStockNonRedeemableNet,CommonStockTotal,AdditionalPaidInCapital,RetainedEarningsAccumulatedDeficit,TreasuryStockCommon,OtherEquityTotal,TotalEquity,TotalLiabilitiesShareholdersEquity,SharesOutsCommonStockPrimaryIssue,TotalCommonSharesOutstanding
CLBS,2012-12-31,As of,13.74,NA,13.74,1.05,NA,1.05,1.11,0.80,NA,16.71,NA,NA,11.12,14.48,NA,0.95,54.41,2.56,2.28,3.44,0.20,1.47,9.95,0.17,NA,0.17,3.81,3.60,-0.36,7.87,21.23,NA,NA,0.02,231.22,-197.39,-0.67,NA,33.18,54.41,NA,1.64
CLC,2016-08-27,As of,119.84,NA,119.84,234.57,NA,242.39,250.78,21.11,NA,634.11,596.65,-302.99,506.24,311.95,NA,13.84,1759.79,84.07,60.28,0.00,15.24,24.95,184.54,302.79,NA,302.79,318.03,77.90,0.72,44.22,610.17,NA,NA,48.62,0.90,1200.22,NA,-100.17,1149.62,1759.79,NA,48.62
CLC,2016-05-28,As of,117.60,NA,117.60,251.18,NA,251.18,253.86,18.86,NA,641.49,595.39,-296.68,511.48,323.95,NA,14.32,1789.96,85.93,64.70,0.00,12.77,32.37,195.77,329.80,NA,329.80,342.57,75.44,0.68,44.86,646.55,NA,NA,48.75,9.65,1175.17,NA,-90.17,1143.40,1789.96,NA,48.76
CLC,2016-02-27,As of,104.63,NA,104.63,237.82,NA,243.16,277.24,19.26,NA,644.30,589.70,-292.56,504.75,321.86,NA,14.20,1782.26,85.34,60.49,0.00,10.30,35.88,192.01,395.84,NA,395.84,406.14,71.41,0.84,40.60,700.70,NA,NA,48.50,NA,1132.56,NA,-99.51,1081.55,1782.26,NA,48.50
CLC,2015-11-28,As of,101.53,NA,101.53,258.28,NA,262.06,274.82,26.38,0.00,664.79,587.35,-286.33,506.26,329.15,NA,17.22,1818.46,87.55,73.50,0.00,7.79,34.86,203.70,397.37,NA,397.37,405.16,64.91,0.90,42.02,708.89,0.00,NA,49.11,0.00,1148.51,NA,-88.05,1109.57,1818.46,NA,49.11
CLC,2015-08-29,As of,112.18,NA,112.18,260.36,NA,260.36,286.91,27.18,38.77,725.40,577.71,-282.48,507.96,337.19,NA,11.61,1877.40,89.70,66.12,0.00,0.30,39.73,195.84,402.77,NA,402.77,403.06,100.61,0.83,41.38,741.43,NA,NA,49.92,0.00,1163.56,NA,-77.51,1135.97,1877.40,NA,49.90
CLC,2015-11-28,As of,101.53,NA,101.53,258.28,NA,262.06,274.82,26.38,0.00,664.79,587.35,-286.33,506.26,329.15,NA,17.22,1818.46,87.55,73.50,0.00,7.79,34.86,203.70,397.37,NA,397.37,405.16,64.91,0.90,42.02,708.89,0.00,NA,49.11,0.00,1148.51,NA,-88.05,1109.57,1818.46,NA,49.11
CLC,2014-11-29,As of,94.06,NA,94.06,305.58,NA,305.58,274.72,16.80,37.75,728.91,645.92,-357.56,507.17,347.58,NA,16.76,1888.77,97.89,87.59,0.00,0.23,38.68,224.38,411.33,NA,411.33,411.56,104.25,2.63,42.12,784.71,NA,NA,50.20,10.64,1097.29,NA,-54.08,1104.06,1888.77,NA,50.20
CLC,2013-11-30,As of,411.56,NA,411.56,224.83,NA,225.83,218.79,9.87,26.08,892.12,541.74,-332.79,241.30,89.88,NA,16.59,1448.84,79.16,62.29,0.00,50.22,16.08,207.76,116.41,NA,116.41,166.64,64.42,2.86,25.55,417.00,NA,NA,50.37,22.28,989.01,NA,-29.81,1031.85,1448.84,NA,50.37
CLC,2012-12-01,As of,185.50,NA,185.50,214.47,NA,214.47,211.25,8.11,35.26,654.59,510.12,-315.02,241.92,95.68,NA,18.20,1205.50,69.21,88.85,0.00,0.20,16.64,174.89,16.39,NA,16.39,16.59,51.38,2.74,59.25,304.66,NA,NA,49.65,0.00,902.90,NA,-51.71,900.84,1205.50,NA,49.65
CLCD,2016-09-30,As of,83.54,16.64,100.18,NA,NA,NA,NA,0.77,NA,100.95,NA,NA,NA,NA,NA,0.02,100.97,4.15,4.72,0.00,NA,0.06,8.93,NA,NA,0.00,0.00,NA,NA,1.50,10.43,NA,NA,0.02,219.60,-129.09,NA,0.01,90.54,100.97,NA,19.24
CLCD,2016-06-30,As of,13.81,26.51,40.33,NA,NA,NA,NA,0.95,NA,41.27,NA,NA,NA,NA,1.51,0.02,42.81,4.78,5.47,0.00,NA,0.01,10.26,NA,NA,0.00,0.00,NA,NA,1.50,11.76,NA,NA,0.01,147.45,-116.43,NA,0.02,31.05,42.81,NA,15.33
CLCD,2016-03-31,As of,23.49,27.59,51.08,NA,NA,NA,NA,1.14,NA,52.22,NA,NA,NA,NA,3.02,0.02,55.26,3.33,3.94,0.00,NA,0.03,7.30,NA,NA,0.00,0.00,NA,NA,1.50,8.80,NA,NA,0.01,146.59,-100.16,NA,0.00,46.46,55.26,NA,15.27
CLCD,2015-12-31,As of,27.98,36.53,64.51,NA,NA,NA,NA,0.81,NA,65.32,NA,NA,NA,NA,NA,0.02,65.34,1.65,3.65,0.00,NA,0.13,5.43,NA,NA,0.00,0.00,NA,NA,1.50,6.93,0.00,NA,0.02,145.53,-87.10,NA,-0.04,58.41,65.34,NA,15.27
