symbol,date,period,NetIncomeStartingLine,DepreciationDepletion,Amortization,DeferredTaxes,NonCashItems,ChangesinWorkingCapital,CashfromOperatingActivities,CapitalExpenditures,OtherInvestingCashFlowItemsTotal,CashfromInvestingActivities,FinancingCashFlowItems,TotalCashDividendsPaid,IssuanceRetirementofStockNet,IssuanceRetirementofDebtNet,CashfromFinancingActivities,ForeignExchangeEffects,NetChangeinCash,CashInterestPaidSupplemental,CashTaxesPaidSupplemental
BAK,2015-12-31,12 months ending,4559.69,2114.93,NA,NA,3378.10,-1927.31,8125.40,-4077.23,3.72,-4073.51,0.00,-482.12,-0.93,385.55,-97.49,-508.04,3446.36,1034.81,232.30
BAK,2015-12-31,12 months ending,4559.69,2114.93,NA,NA,3378.10,-1927.31,8125.40,-4077.23,3.72,-4073.51,1501.94,-482.12,-0.93,-1116.39,-97.49,-508.04,3446.36,1034.81,232.30
BAK,2014-12-31,12 months ending,1178.57,2056.36,NA,NA,1912.43,-1355.49,3791.87,-5332.05,354.97,-4977.08,1894.51,-482.15,NA,-517.96,894.40,-51.69,-342.50,1044.59,138.14
BAK,2013-12-30,12 months ending,963.95,2056.09,NA,NA,1354.17,-1916.41,2457.79,-5682.19,727.99,-4954.20,4597.97,-0.04,NA,-983.70,3614.24,-69.59,1048.24,1123.69,54.83
BAK,2012-12-31,12 months ending,-1378.10,1924.27,NA,NA,2762.98,-737.33,2571.81,-2808.59,-25.72,-2834.31,-20.30,-482.05,-36.69,1172.92,633.88,-36.04,335.35,1006.84,37.28
BAM,2016-09-30,9 months ending,3241.00,1538.00,NA,-698.00,-1035.00,-1327.00,1719.00,-2426.00,-3634.00,-6060.00,3253.00,-475.00,-79.00,3157.00,5856.00,83.00,1598.00,NA,NA
BAM,2016-06-30,6 months ending,1220.00,997.00,NA,332.00,-776.00,-689.00,1084.00,-1758.00,-4120.00,-5878.00,3308.00,-317.00,-80.00,3064.00,5975.00,65.00,1246.00,NA,NA
BAM,2016-03-31,3 months ending,636.00,481.00,NA,170.00,-413.00,-655.00,219.00,-713.00,-3222.00,-3935.00,1157.00,-158.00,-78.00,3506.00,4427.00,78.00,789.00,NA,NA
BAM,2015-12-31,12 months ending,4669.00,1695.00,NA,64.00,-3526.00,-114.00,2788.00,-4032.00,-7032.00,-11064.00,871.00,-584.00,1148.00,6787.00,8222.00,-332.00,-386.00,2931.00,226.00
BAM,2015-12-31,12 months ending,4669.00,1695.00,NA,64.00,-3526.00,-114.00,2788.00,-4032.00,-7032.00,-11064.00,871.00,-584.00,1148.00,6787.00,8222.00,-332.00,-386.00,2931.00,226.00
BAM,2014-12-31,12 months ending,5209.00,1470.00,NA,1209.00,-4784.00,-530.00,2574.00,-3095.00,-6501.00,-9596.00,160.00,-542.00,2430.00,4585.00,6633.00,-114.00,-503.00,2645.00,185.00
BAM,2013-12-31,12 months ending,3844.00,1455.00,NA,686.00,-2790.00,-917.00,2278.00,-6292.00,2251.00,-4041.00,765.00,-541.00,429.00,2057.00,2710.00,-134.00,813.00,2699.00,293.00
BAM,2012-12-31,12 months ending,2755.00,1263.00,NA,384.00,-2091.00,-806.00,1505.00,-5688.00,1126.00,-4562.00,2182.00,-469.00,788.00,1416.00,3917.00,-41.00,819.00,2235.00,273.00
BAH,2016-09-30,6 months ending,130.65,29.18,NA,NA,14.57,42.69,217.08,-15.14,-0.20,-15.34,6.16,-44.79,3.06,-46.48,-82.05,NA,119.69,26.13,36.61
BAH,2016-06-30,3 months ending,67.82,14.50,NA,NA,4.43,-75.10,11.65,-6.17,-0.85,-7.02,1.39,-22.35,-0.66,9.44,-12.18,NA,-7.55,14.05,1.49
BAH,2016-03-31,12 months ending,294.09,61.54,NA,3.55,1.97,-111.92,249.23,-66.64,-51.12,-117.75,0.12,-80.02,-49.21,-22.06,-151.17,NA,-19.69,57.07,143.08
BAH,2015-12-31,9 months ending,228.58,46.62,NA,NA,-5.91,-88.29,181.00,-45.83,-50.62,-96.45,-1.65,-57.68,-23.83,-41.50,-124.66,NA,-40.11,40.40,113.42
BAH,2016-03-31,12 months ending,294.09,61.54,NA,3.55,1.97,-111.92,249.23,-66.64,-51.12,-117.75,0.12,-80.02,-49.21,-22.06,-151.17,NA,-19.69,57.07,143.08
BAH,2015-03-31,12 months ending,232.57,62.66,NA,-2.54,-11.51,28.79,309.96,-36.04,-24.53,-60.58,-4.92,-215.09,-51.02,-31.12,-302.16,NA,-52.78,50.07,122.91
BAH,2014-03-31,12 months ending,232.19,72.33,NA,-26.37,-5.41,59.99,332.72,-20.91,7.35,-13.56,-24.18,-345.80,15.99,-55.56,-409.55,NA,-90.39,61.05,178.41
BAH,2013-03-31,12 months ending,219.06,74.01,NA,-48.09,16.31,203.36,464.65,-33.11,-157.34,-190.45,-22.91,-1122.46,20.28,716.89,-408.19,NA,-133.98,109.89,7.71
BANF,2016-09-30,9 months ending,52.05,9.37,NA,-3.07,0.13,12.35,70.84,-7.84,5.14,-2.70,51.59,-16.81,1.56,3.50,39.84,NA,107.98,10.92,26.20
BANF,2016-06-30,6 months ending,34.07,6.26,NA,-1.92,-0.23,4.28,42.46,-5.05,3.36,-1.68,-29.38,-11.20,-3.55,3.00,-41.13,NA,-0.35,7.21,17.90
BANF,2016-03-31,3 months ending,16.58,3.11,NA,-0.83,-0.62,10.24,28.48,-2.94,16.74,13.80,37.51,-5.62,-4.83,0.80,27.87,NA,70.15,3.59,1.05
BANF,2015-12-31,12 months ending,66.17,11.90,NA,-1.90,2.67,-0.68,78.16,-11.26,-254.03,-265.30,-106.42,-21.45,2.77,-3.48,-128.58,NA,-315.72,12.26,33.53
BANF,2015-12-31,12 months ending,66.17,11.90,NA,-1.90,2.67,-0.68,78.16,-11.26,-254.03,-265.30,-106.42,-21.45,2.77,-3.48,-128.58,NA,-315.72,12.26,33.53
BANF,2014-12-31,12 months ending,63.89,11.35,NA,-3.68,1.83,3.54,76.92,-11.49,-171.89,-183.38,183.37,-19.54,6.53,-7.55,162.81,NA,56.36,13.13,26.18
BANF,2013-12-31,12 months ending,54.32,11.08,NA,-0.48,2.13,11.05,78.09,-13.90,-117.18,-131.08,-21.31,-13.58,2.49,-2.22,-34.62,NA,-87.61,14.14,20.95
BANF,2012-12-31,12 months ending,51.90,10.84,NA,-0.69,2.93,-4.69,60.30,-13.44,-172.45,-185.89,403.10,-21.09,3.28,-22.28,363.01,NA,237.41,NA,25.98
BANR,2016-09-30,9 months ending,62.58,9.22,5.34,10.75,-0.08,-73.22,14.59,-9.22,23.39,14.17,-13.70,-20.54,-21.10,10.59,-44.76,NA,-16.00,12.78,23.75
BANR,2016-06-30,6 months ending,38.73,6.05,3.62,11.76,0.03,-74.85,-14.66,-6.10,-64.24,-70.34,57.10,-13.35,0.00,13.98,57.74,NA,-27.26,8.57,11.03
BANR,2016-03-31,3 months ending,17.77,2.86,1.81,8.74,0.86,-10.65,21.40,-4.33,62.76,58.42,-82.81,-6.17,0.00,7.81,-81.17,NA,-1.35,4.35,2.58
BANR,2015-12-31,12 months ending,45.22,9.96,3.16,-3.91,-0.53,-38.54,15.37,-12.07,27.13,15.06,106.41,-17.17,0.03,16.14,105.42,NA,135.84,12.25,27.26
